participant_id,age,gender,date,trial_number,card_selected,total_before,amount_won,amount_lost,net_change,loss_occurred,total_after,reaction_time_ms,questionnaire,question_number,question_text,response_value,response_label
1,35,Male,2026-03-30 14:04:45,,,,,,,,,,HSPS,25,"Are you bothered by intense stimuli, like loud noises or chaotic scenes?",3,Neither agree nor disagree
1,35,Male,2026-03-30 14:04:46,,,,,,,,,,HSPS,26,"When you must compete or be observed while performing a task, do you become so nervous or shaky that you do much worse than you would otherwise?",3,Neither agree nor disagree
1,35,Male,2026-03-30 14:04:46,,,,,,,,,,HSPS,27,"When you were a child, did parents or teachers seem to see you as sensitive or shy?",3,Neither agree nor disagree
1,35,Male,2026-03-30 14:04:49,,,,,,,,,,IUS,1,Unforeseen events upset me greatly.,3,Somewhat characteristic of me
1,35,Male,2026-03-30 14:04:50,,,,,,,,,,IUS,2,It frustrates me not having all the information I need.,3,Somewhat characteristic of me
1,35,Male,2026-03-30 14:04:50,,,,,,,,,,IUS,3,Uncertainty keeps me from living a full life.,3,Somewhat characteristic of me
1,35,Male,2026-03-30 14:04:51,,,,,,,,,,IUS,4,One should always look ahead so as to avoid surprises.,3,Somewhat characteristic of me
1,35,Male,2026-03-30 14:04:52,,,,,,,,,,IUS,5,"A small unforeseen event can spoil everything, even with the best of planning.",3,Somewhat characteristic of me
1,35,Male,2026-03-30 14:04:53,,,,,,,,,,IUS,6,"When it's time to act, uncertainty paralyses me.",3,Somewhat characteristic of me
1,35,Male,2026-03-30 14:04:53,,,,,,,,,,IUS,7,When I am uncertain I can't function very well.,3,Somewhat characteristic of me
1,35,Male,2026-03-30 14:04:54,,,,,,,,,,IUS,8,I always want to know what the future has in store for me.,3,Somewhat characteristic of me
1,35,Male,2026-03-30 14:04:55,,,,,,,,,,IUS,9,I can't stand being taken by surprise.,3,Somewhat characteristic of me
1,35,Male,2026-03-30 14:04:56,,,,,,,,,,IUS,10,The smallest doubt can stop me from acting.,3,Somewhat characteristic of me
1,35,Male,2026-03-30 14:04:56,,,,,,,,,,IUS,11,Please select 'A little characteristic of me'.,3,Somewhat characteristic of me
1,35,Male,2026-03-30 14:04:57,,,,,,,,,,IUS,12,I should be able to organise everything in advance.,3,Somewhat characteristic of me
1,35,Male,2026-03-30 14:04:58,,,,,,,,,,IUS,13,I must get away from all uncertain situations.,3,Somewhat characteristic of me
